KB article,Servicing option,Availability date,Build,OS Version
KB5014699,Semi-Annual Channel,2022-06-14,19042.1766,Windows 10
KB5014023,Semi-Annual Channel,2022-06-02,19042.1741,Windows 10
KB5015020,Semi-Annual Channel,2022-05-19,19042.1708,Windows 10
KB5013942,Semi-Annual Channel,2022-05-10,19042.1706,Windows 10
KB5011831,Semi-Annual Channel,2022-04-25,19042.1682,Windows 10
KB5012599,Semi-Annual Channel,2022-04-12,19042.1645,Windows 10
KB5011543,Semi-Annual Channel,2022-03-22,19042.1620,Windows 10
KB5011487,Semi-Annual Channel,2022-03-08,19042.1586,Windows 10
KB5010415,Semi-Annual Channel,2022-02-15,19042.1566,Windows 10
KB5010342,Semi-Annual Channel,2022-02-08,19042.1526,Windows 10
KB5009596,Semi-Annual Channel,2022-01-25,19042.1503,Windows 10
KB5010793,Semi-Annual Channel,2022-01-17,19042.1469,Windows 10
KB5009543,Semi-Annual Channel,2022-01-11,19042.1466,Windows 10
KB5008212,Semi-Annual Channel,2021-12-14,19042.1415,Windows 10
KB5007253,Semi-Annual Channel,2021-11-22,19042.1387,Windows 10
KB5007186,Semi-Annual Channel,2021-11-09,19042.1348,Windows 10
KB5006738,Semi-Annual Channel,2021-10-26,19042.1320,Windows 10
KB5006670,Semi-Annual Channel,2021-10-12,19042.1288,Windows 10
KB5005611,Semi-Annual Channel,2021-09-30,19042.1266,Windows 10
KB5005565,Semi-Annual Channel,2021-09-14,19042.1237,Windows 10
KB5005101,Semi-Annual Channel,2021-09-01,19042.1202,Windows 10
KB5005033,Semi-Annual Channel,2021-08-10,19042.1165,Windows 10
KB5004296,Semi-Annual Channel,2021-07-29,19042.1151,Windows 10
KB5004237,Semi-Annual Channel,2021-07-13,19042.1110,Windows 10
KB5004945,Semi-Annual Channel,2021-07-06,19042.1083,Windows 10
KB5004760,Semi-Annual Channel,2021-06-29,19042.1082,Windows 10
KB5003690,Semi-Annual Channel,2021-06-21,19042.1081,Windows 10
KB5004476,Semi-Annual Channel,2021-06-11,19042.1055,Windows 10
KB5003637,Semi-Annual Channel,2021-06-08,19042.1052,Windows 10
KB5003214,Semi-Annual Channel,2021-05-25,19042.1023,Windows 10
KB5003173,Semi-Annual Channel,2021-05-11,19042.985,Windows 10
KB5001391,Semi-Annual Channel,2021-04-28,19042.964,Windows 10
KB5001330,Semi-Annual Channel,2021-04-13,19042.928,Windows 10
KB5000842,Semi-Annual Channel,2021-03-29,19042.906,Windows 10
KB5001649,Semi-Annual Channel,2021-03-18,19042.870,Windows 10
KB5001567,Semi-Annual Channel,2021-03-15,19042.868,Windows 10
KB5000802,Semi-Annual Channel,2021-03-09,19042.867,Windows 10
KB4601382,Semi-Annual Channel,2021-02-24,19042.844,Windows 10
KB4601319,Semi-Annual Channel,2021-02-09,19042.804,Windows 10
KB4598291,Semi-Annual Channel,2021-02-02,19042.789,Windows 10
KB4598242,Semi-Annual Channel,2021-01-12,19042.746,Windows 10
KB4592438,Semi-Annual Channel,2020-12-08,19042.685,Windows 10
KB4586853,Semi-Annual Channel,2020-11-30,19042.662,Windows 10
KB4594440,Semi-Annual Channel,2020-11-19,19042.631,Windows 10
KB4586781,Semi-Annual Channel,2020-11-10,19042.630,Windows 10
KB4580364,Semi-Annual Channel,2020-10-29,19042.610,Windows 10
,Semi-Annual Channel,2020-10-20,19042.572,Windows 10
KB5008212,Semi-Annual Channel,2021-12-14,19041.1415,Windows 10
KB5007253,Semi-Annual Channel,2021-11-22,19041.1387,Windows 10
KB5007186,Semi-Annual Channel,2021-11-09,19041.1348,Windows 10
KB5006738,Semi-Annual Channel,2021-10-26,19041.1320,Windows 10
KB5006670,Semi-Annual Channel,2021-10-12,19041.1288,Windows 10
KB5005611,Semi-Annual Channel,2021-09-30,19041.1266,Windows 10
KB5005565,Semi-Annual Channel,2021-09-14,19041.1237,Windows 10
KB5005101,Semi-Annual Channel,2021-09-01,19041.1202,Windows 10
KB5005033,Semi-Annual Channel,2021-08-10,19041.1165,Windows 10
KB5004296,Semi-Annual Channel,2021-07-29,19041.1151,Windows 10
KB5004237,Semi-Annual Channel,2021-07-13,19041.1110,Windows 10
KB5004945,Semi-Annual Channel,2021-07-06,19041.1083,Windows 10
KB5004760,Semi-Annual Channel,2021-06-29,19041.1082,Windows 10
KB5003690,Semi-Annual Channel,2021-06-21,19041.1081,Windows 10
KB5004476,Semi-Annual Channel,2021-06-11,19041.1055,Windows 10
KB5003637,Semi-Annual Channel,2021-06-08,19041.1052,Windows 10
KB5003214,Semi-Annual Channel,2021-05-25,19041.1023,Windows 10
KB5003173,Semi-Annual Channel,2021-05-11,19041.985,Windows 10
KB5001391,Semi-Annual Channel,2021-04-28,19041.964,Windows 10
KB5001330,Semi-Annual Channel,2021-04-13,19041.928,Windows 10
KB5000842,Semi-Annual Channel,2021-03-29,19041.906,Windows 10
KB5001649,Semi-Annual Channel,2021-03-18,19041.870,Windows 10
KB5001567,Semi-Annual Channel,2021-03-15,19041.868,Windows 10
KB5000802,Semi-Annual Channel,2021-03-09,19041.867,Windows 10
KB4601382,Semi-Annual Channel,2021-02-24,19041.844,Windows 10
KB4601319,Semi-Annual Channel,2021-02-09,19041.804,Windows 10
KB4598291,Semi-Annual Channel,2021-02-02,19041.789,Windows 10
KB4598242,Semi-Annual Channel,2021-01-12,19041.746,Windows 10
KB4592438,Semi-Annual Channel,2020-12-08,19041.685,Windows 10
KB4586853,Semi-Annual Channel,2020-11-30,19041.662,Windows 10
KB4594440,Semi-Annual Channel,2020-11-19,19041.631,Windows 10
KB4586781,Semi-Annual Channel,2020-11-10,19041.630,Windows 10
KB4580364,Semi-Annual Channel,2020-10-29,19041.610,Windows 10
KB4579311,Semi-Annual Channel,2020-10-13,19041.572,Windows 10
KB4577063,Semi-Annual Channel,2020-10-01,19041.546,Windows 10
KB4571756,Semi-Annual Channel,2020-09-08,19041.508,Windows 10
KB4571744,Semi-Annual Channel,2020-09-03,19041.488,Windows 10
KB4566782,Semi-Annual Channel,2020-08-11,19041.450,Windows 10
KB4568831,Semi-Annual Channel,2020-07-31,19041.423,Windows 10
KB4565503,Semi-Annual Channel,2020-07-14,19041.388,Windows 10
KB4567523,Semi-Annual Channel,2020-06-18,19041.331,Windows 10
KB4557957,Semi-Annual Channel,2020-06-09,19041.329,Windows 10
,Semi-Annual Channel,2020-05-27,19041.264,Windows 10
KB5013945,Semi-Annual Channel,2022-05-10,18363.2274,Windows 10
KB5012591,Semi-Annual Channel,2022-04-12,18363.2212,Windows 10
KB5011485,Semi-Annual Channel,2022-03-08,18363.2158,Windows 10
KB5010345,Semi-Annual Channel,2022-02-08,18363.2094,Windows 10
KB5010792,Semi-Annual Channel,2022-01-17,18363.2039,Windows 10
KB5009545,Semi-Annual Channel,2022-01-11,18363.2037,Windows 10
KB5008206,Semi-Annual Channel,2021-12-14,18363.1977,Windows 10
KB5007189,Semi-Annual Channel,2021-11-09,18363.1916,Windows 10
KB5006667,Semi-Annual Channel,2021-10-12,18363.1854,Windows 10
KB5005624,Semi-Annual Channel,2021-09-21,18363.1832,Windows 10
KB5005566,Semi-Annual Channel,2021-09-14,18363.1801,Windows 10
KB5005103,Semi-Annual Channel,2021-08-26,18363.1766,Windows 10
KB5005031,Semi-Annual Channel,2021-08-10,18363.1734,Windows 10
KB5004293,Semi-Annual Channel,2021-07-29,18363.1714,Windows 10
KB5004245,Semi-Annual Channel,2021-07-13,18363.1679,Windows 10
KB5004946,Semi-Annual Channel,2021-07-06,18363.1646,Windows 10
KB5003698,Semi-Annual Channel,2021-06-15,18363.1645,Windows 10
KB5003635,Semi-Annual Channel,2021-06-08,18363.1621,Windows 10
KB5003212,Semi-Annual Channel,2021-05-20,18363.1593,Windows 10
KB5003169,Semi-Annual Channel,2021-05-11,18363.1556,Windows 10
KB5001396,Semi-Annual Channel,2021-04-22,18363.1533,Windows 10
KB5001337,Semi-Annual Channel,2021-04-13,18363.1500,Windows 10
KB5000850,Semi-Annual Channel,2021-03-25,18363.1474,Windows 10
KB5001648,Semi-Annual Channel,2021-03-18,18363.1443,Windows 10
KB5001566,Semi-Annual Channel,2021-03-15,18363.1441,Windows 10
KB5000808,Semi-Annual Channel,2021-03-09,18363.1440,Windows 10
KB4601380,Semi-Annual Channel,2021-02-16,18363.1411,Windows 10
KB5001028,Semi-Annual Channel,2021-02-11,18363.1379,Windows 10
KB4601315,Semi-Annual Channel,2021-02-09,18363.1377,Windows 10
KB4598298,Semi-Annual Channel,2021-01-21,18363.1350,Windows 10
KB4598229,Semi-Annual Channel,2021-01-12,18363.1316,Windows 10
KB4592449,Semi-Annual Channel,2020-12-08,18363.1256,Windows 10
KB4586819,Semi-Annual Channel,2020-11-19,18363.1237,Windows 10
KB4594443,Semi-Annual Channel,2020-11-19,18363.1199,Windows 10
KB4586786,Semi-Annual Channel,2020-11-10,18363.1198,Windows 10
KB4580386,Semi-Annual Channel,2020-10-20,18363.1171,Windows 10
KB4577671,Semi-Annual Channel,2020-10-13,18363.1139,Windows 10
KB4577062,Semi-Annual Channel,2020-09-16,18363.1110,Windows 10
KB4574727,Semi-Annual Channel,2020-09-08,18363.1082,Windows 10
KB4566116,Semi-Annual Channel,2020-08-20,18363.1049,Windows 10
KB4565351,Semi-Annual Channel,2020-08-11,18363.1016,Windows 10
KB4559004,Semi-Annual Channel,2020-07-21,18363.997,Windows 10
KB4565483,Semi-Annual Channel,2020-07-14,18363.959,Windows 10
KB4567512,Semi-Annual Channel,2020-06-16,18363.904,Windows 10
KB4560960,Semi-Annual Channel,2020-06-09,18363.900,Windows 10
KB4556799,Semi-Annual Channel,2020-05-12,18363.836,Windows 10
KB4550945,Semi-Annual Channel,2020-04-21,18363.815,Windows 10
KB4549951,Semi-Annual Channel,2020-04-14,18363.778,Windows 10
KB4554364,Semi-Annual Channel,2020-03-30,18363.753,Windows 10
KB4541335,Semi-Annual Channel,2020-03-24,18363.752,Windows 10
KB4551762,Semi-Annual Channel,2020-03-12,18363.720,Windows 10
KB4540673,Semi-Annual Channel,2020-03-10,18363.719,Windows 10
KB4535996,Semi-Annual Channel,2020-02-27,18363.693,Windows 10
KB4532693,Semi-Annual Channel,2020-02-11,18363.657,Windows 10
KB4532695,Semi-Annual Channel,2020-01-28,18363.628,Windows 10
KB4528760,Semi-Annual Channel,2020-01-14,18363.592,Windows 10
KB4530684,Semi-Annual Channel,2019-12-10,18363.535,Windows 10
KB4524570,Semi-Annual Channel,2019-11-12,18363.476,Windows 10
KB4592449,Semi-Annual Channel,2020-12-08,18362.1256,Windows 10
KB4586819,Semi-Annual Channel,2020-11-19,18362.1237,Windows 10
KB4594443,Semi-Annual Channel,2020-11-19,18362.1199,Windows 10
KB4586786,Semi-Annual Channel,2020-11-10,18362.1198,Windows 10
KB4580386,Semi-Annual Channel,2020-10-20,18362.1171,Windows 10
KB4577671,Semi-Annual Channel,2020-10-13,18362.1139,Windows 10
KB4577062,Semi-Annual Channel,2020-09-16,18362.1110,Windows 10
KB4574727,Semi-Annual Channel,2020-09-08,18362.1082,Windows 10
KB4566116,Semi-Annual Channel,2020-08-20,18362.1049,Windows 10
KB4565351,Semi-Annual Channel,2020-08-11,18362.1016,Windows 10
KB4559004,Semi-Annual Channel,2020-07-21,18362.997,Windows 10
KB4565483,Semi-Annual Channel,2020-07-14,18362.959,Windows 10
KB4567512,Semi-Annual Channel,2020-06-16,18362.904,Windows 10
KB4560960,Semi-Annual Channel,2020-06-09,18362.900,Windows 10
KB4556799,Semi-Annual Channel,2020-05-12,18362.836,Windows 10
KB4550945,Semi-Annual Channel,2020-04-21,18362.815,Windows 10
KB4549951,Semi-Annual Channel,2020-04-14,18362.778,Windows 10
KB4554364,Semi-Annual Channel,2020-03-30,18362.753,Windows 10
KB4541335,Semi-Annual Channel,2020-03-24,18362.752,Windows 10
KB4551762,Semi-Annual Channel,2020-03-12,18362.720,Windows 10
KB4540673,Semi-Annual Channel,2020-03-10,18362.719,Windows 10
KB4535996,Semi-Annual Channel,2020-02-27,18362.693,Windows 10
KB4532693,Semi-Annual Channel,2020-02-11,18362.657,Windows 10
KB4532695,Semi-Annual Channel,2020-01-28,18362.628,Windows 10
KB4528760,Semi-Annual Channel,2020-01-14,18362.592,Windows 10
KB4530684,Semi-Annual Channel,2019-12-10,18362.535,Windows 10
KB4524570,Semi-Annual Channel,2019-11-12,18362.476,Windows 10
KB4522355,Semi-Annual Channel,2019-10-24,18362.449,Windows 10
KB4517389,Semi-Annual Channel,2019-10-08,18362.418,Windows 10
KB4524147,Semi-Annual Channel,2019-10-03,18362.388,Windows 10
KB4517211,Semi-Annual Channel,2019-09-26,18362.387,Windows 10
KB4522016,Semi-Annual Channel,2019-09-23,18362.357,Windows 10
KB4515384,Semi-Annual Channel,2019-09-10,18362.356,Windows 10
KB4512941,Semi-Annual Channel,2019-08-30,18362.329,Windows 10
KB4512508,Semi-Annual Channel,2019-08-13,18362.295,Windows 10
KB4505903,Semi-Annual Channel,2019-07-26,18362.267,Windows 10
KB4507453,Semi-Annual Channel,2019-07-09,18362.239,Windows 10
KB4501375,Semi-Annual Channel,2019-06-27,18362.207,Windows 10
KB4503293,Semi-Annual Channel,2019-06-11,18362.175,Windows 10
KB4497935,Semi-Annual Channel,2019-05-29,18362.145,Windows 10
KB4505057,Semi-Annual Channel,2019-05-21,18362.116,Windows 10
KB5062557,LTSC,2025-07-08,17763.7558,Windows 10
KB5060531,LTSC,2025-06-10,17763.7434,Windows 10
KB5061978,LTSC,2025-05-27,17763.7322,Windows 10
KB5058392,LTSC,2025-05-13,17763.7314,Windows 10
KB5059091,LTSC,2025-04-16,17763.7249,Windows 10
KB5058922,LTSC,2025-04-11,17763.7240,Windows 10
KB5055519,LTSC,2025-04-08,17763.7136,Windows 10
KB5053596,LTSC,2025-03-11,17763.7009,Windows 10
KB5052000,LTSC,2025-02-11,17763.6893,Windows 10
KB5050008,LTSC,2025-01-14,17763.6775,Windows 10
KB5048661,LTSC,2024-12-10,17763.6659,Windows 10
KB5046615,LTSC,2024-11-12,17763.6532,Windows 10
KB5044277,LTSC,2024-10-08,17763.6414,Windows 10
KB5043050,LTSC,2024-09-10,17763.6293,Windows 10
KB5041578,LTSC,2024-08-13,17763.6189,Windows 10
KB5040430,LTSC,2024-07-09,17763.6054,Windows 10
KB5039217,LTSC,2024-06-11,17763.5936,Windows 10
KB5039705,LTSC,2024-05-23,17763.5830,Windows 10
KB5037765,LTSC,2024-05-14,17763.5820,Windows 10
KB5036896,LTSC,2024-04-09,17763.5696,Windows 10
KB5037425,LTSC,2024-03-25,17763.5579,Windows 10
KB5035849,LTSC,2024-03-12,17763.5576,Windows 10
KB5034768,LTSC,2024-02-13,17763.5458,Windows 10
KB5034127,LTSC,2024-01-09,17763.5329,Windows 10
KB5033371,LTSC,2023-12-12,17763.5206,Windows 10
KB5032196,LTSC,2023-11-14,17763.5122,Windows 10
KB5031361,LTSC,2023-10-10,17763.4974,Windows 10
KB5030214,LTSC,2023-09-12,17763.4851,Windows 10
KB5029247,LTSC,2023-08-08,17763.4737,Windows 10
KB5028168,LTSC,2023-07-11,17763.4645,Windows 10
KB5027222,LTSC,2023-06-13,17763.4499,Windows 10
KB5026362,LTSC,2023-05-09,17763.4377,Windows 10
KB5025229,LTSC,2023-04-11,17763.4252,Windows 10
KB5023702,LTSC,2023-03-14,17763.4131,Windows 10
KB5022840,LTSC,2023-02-14,17763.4010,Windows 10
KB5022286,LTSC,2023-01-10,17763.3887,Windows 10
KB5022554,LTSC,2022-12-20,17763.3772,Windows 10
KB5021237,LTSC,2022-12-13,17763.3770,Windows 10
KB5021655,LTSC,2022-11-17,17763.3653,Windows 10
KB5019966,LTSC,2022-11-08,17763.3650,Windows 10
KB5020438,LTSC,2022-10-17,17763.3534,Windows 10
KB5018419,LTSC,2022-10-11,17763.3532,Windows 10
KB5017379,LTSC,2022-09-20,17763.3469,Windows 10
KB5017315,LTSC,2022-09-13,17763.3406,Windows 10
KB5016690,LTSC,2022-08-23,17763.3346,Windows 10
KB5016623,LTSC,2022-08-09,17763.3287,Windows 10
KB5015880,LTSC,2022-07-21,17763.3232,Windows 10
KB5015811,LTSC,2022-07-12,17763.3165,Windows 10
KB5014669,LTSC,2022-06-23,17763.3113,Windows 10
KB5014692,LTSC,2022-06-14,17763.3046,Windows 10
KB5014022,LTSC,2022-05-24,17763.2989,Windows 10
KB5015018,LTSC,2022-05-19,17763.2931,Windows 10
KB5013941,LTSC,2022-05-10,17763.2928,Windows 10
KB5012636,LTSC,2022-04-21,17763.2867,Windows 10
KB5012647,LTSC,2022-04-12,17763.2803,Windows 10
KB5011551,LTSC,2022-03-22,17763.2746,Windows 10
KB5011503,LTSC,2022-03-08,17763.2686,Windows 10
KB5010427,LTSC,2022-02-15,17763.2628,Windows 10
KB5010351,LTSC,2022-02-08,17763.2565,Windows 10
KB5009616,LTSC,2022-01-25,17763.2510,Windows 10
KB5010791,LTSC,2022-01-18,17763.2458,Windows 10
KB5009557,LTSC,2022-01-11,17763.2452,Windows 10
KB5010196,LTSC,2022-01-04,17763.2369,Windows 10
KB5008218,LTSC,2021-12-14,17763.2366,Windows 10
KB5007266,LTSC,2021-11-22,17763.2330,Windows 10
KB5008602,LTSC,2021-11-14,17763.2305,Windows 10
KB5007206,LTSC,2021-11-09,17763.2300,Windows 10
KB5006744,LTSC,2021-10-19,17763.2268,Windows 10
KB5006672,LTSC,2021-10-12,17763.2237,Windows 10
KB5005625,LTSC,2021-09-21,17763.2213,Windows 10
KB5005568,LTSC,2021-09-14,17763.2183,Windows 10
KB5005102,LTSC,2021-08-26,17763.2145,Windows 10
KB5005030,LTSC,2021-08-10,17763.2114,Windows 10
KB5005394,LTSC,2021-07-27,17763.2091,Windows 10
KB5004308,LTSC,2021-07-20,17763.2090,Windows 10
KB5004244,LTSC,2021-07-13,17763.2061,Windows 10
KB5004947,LTSC,2021-07-06,17763.2029,Windows 10
KB5003703,LTSC,2021-06-15,17763.2028,Windows 10
KB5003646,LTSC,2021-06-08,17763.1999,Windows 10
KB5003217,LTSC,2021-05-20,17763.1971,Windows 10
KB5003171,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-05-11,17763.1935,Windows 10
KB5001384,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-04-22,17763.1911,Windows 10
KB5001342,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-04-13,17763.1879,Windows 10
KB5000854,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-03-25,17763.1852,Windows 10
KB5001638,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-03-18,17763.1823,Windows 10
KB5001568,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-03-15,17763.1821,Windows 10
KB5000822,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-03-09,17763.1817,Windows 10
KB4601383,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-02-16,17763.1790,Windows 10
KB4601345,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-02-09,17763.1757,Windows 10
KB4598296,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-01-21,17763.1728,Windows 10
KB4598230,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2021-01-12,17763.1697,Windows 10
KB4592440,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-12-08,17763.1637,Windows 10
KB4586839,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-11-19,17763.1613,Windows 10
KB4594442,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-11-17,17763.1579,Windows 10
KB4586793,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-11-10,17763.1577,Windows 10
KB4580390,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-10-20,17763.1554,Windows 10
KB4577668,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-10-13,17763.1518,Windows 10
KB4577069,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-09-16,17763.1490,Windows 10
KB4570333,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-09-08,17763.1457,Windows 10
KB4571748,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-08-20,17763.1432,Windows 10
KB4565349,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-08-11,17763.1397,Windows 10
KB4559003,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-07-21,17763.1369,Windows 10
KB4558998,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-07-14,17763.1339,Windows 10
KB4567513,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-06-16,17763.1294,Windows 10
KB4561608,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-06-09,17763.1282,Windows 10
KB4551853,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-05-12,17763.1217,Windows 10
KB4550969,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-04-21,17763.1192,Windows 10
KB4549949,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-04-14,17763.1158,Windows 10
KB4554354,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-03-30,17763.1132,Windows 10
KB4541331,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-03-17,17763.1131,Windows 10
KB4538461,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-03-10,17763.1098,Windows 10
KB4537818,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-02-25,17763.1075,Windows 10
KB4532691,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-02-11,17763.1039,Windows 10
KB4534321,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-01-23,17763.1012,Windows 10
KB4534273,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2020-01-14,17763.973,Windows 10
KB4530715,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-12-10,17763.914,Windows 10
KB4523205,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-11-12,17763.864,Windows 10
KB4520062,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-10-15,17763.832,Windows 10
KB4519338,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-10-08,17763.805,Windows 10
KB4524148,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-10-03,17763.775,Windows 10
KB4516077,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-09-24,17763.774,Windows 10
KB4522015,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-09-23,17763.740,Windows 10
KB4512578,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-09-10,17763.737,Windows 10
KB4512534,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-08-17,17763.720,Windows 10
KB4511553,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-08-13,17763.678,Windows 10
KB4505658,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-07-22,17763.652,Windows 10
KB4507469,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-07-09,17763.615,Windows 10
KB4509479,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-06-26,17763.593,Windows 10
KB4501371,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-06-18,17763.592,Windows 10
KB4503327,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-06-11,17763.557,Windows 10
KB4497934,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-05-21,17763.529,Windows 10
KB4505056,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-05-19,17763.504,Windows 10
KB4494441,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-05-14,17763.503,Windows 10
KB4495667,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-05-03,17763.475,Windows 10
KB4501835,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-05-01,17763.439,Windows 10
KB4493509,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-04-09,17763.437,Windows 10
KB4490481,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-04-02,17763.404,Windows 10
KB4489899,Semi-Annual Channel  •  Semi-Annual Channel (Targeted)  •  LTSC,2019-03-12,17763.379,Windows 10
KB4482887,Semi-Annual Channel (Targeted)  •  LTSC,2019-03-01,17763.348,Windows 10
KB4487044,Semi-Annual Channel (Targeted)  •  LTSC,2019-02-12,17763.316,Windows 10
KB4476976,Semi-Annual Channel (Targeted)  •  LTSC,2019-01-22,17763.292,Windows 10
KB4480116,Semi-Annual Channel (Targeted)  •  LTSC,2019-01-08,17763.253,Windows 10
KB4483235,Semi-Annual Channel (Targeted)  •  LTSC,2018-12-19,17763.195,Windows 10
KB4471332,Semi-Annual Channel (Targeted)  •  LTSC,2018-12-11,17763.194,Windows 10
KB4469342,Semi-Annual Channel (Targeted)  •  LTSC,2018-12-05,17763.168,Windows 10
KB4467708,Semi-Annual Channel (Targeted)  •  LTSC,2018-11-13,17763.134,Windows 10
KB4464455,Semi-Annual Channel (Targeted)  •  LTSC,2018-11-13,17763.107,Windows 10
KB4464330,Semi-Annual Channel (Targeted)  •  LTSC,2018-10-09,17763.55,Windows 10
,Semi-Annual Channel (Targeted)  •  LTSC,2018-10-02,17763.1,Windows 10
KB5003174,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2021-05-11,17134.2208,Windows 10
KB5001339,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2021-04-13,17134.2145,Windows 10
KB5001634,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2021-03-18,17134.2090,Windows 10
KB5001565,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2021-03-15,17134.2088,Windows 10
KB5000809,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2021-03-09,17134.2087,Windows 10
KB4601354,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2021-02-09,17134.2026,Windows 10
KB4598245,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2021-01-12,17134.1967,Windows 10
KB4592446,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2020-12-08,17134.1902,Windows 10
KB4586785,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2020-11-10,17134.1845,Windows 10
KB4580330,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2020-10-13,17134.1792,Windows 10
KB4577032,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2020-09-08,17134.1726,Windows 10
KB4571709,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2020-08-11,17134.1667,Windows 10
KB4565489,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2020-07-14,17134.1610,Windows 10
KB4567514,Semi-Annual Channel  •  Semi-Annual Channel (Targeted),2020-06-16,17134.1553,Windows 10
